,address,zip,units,cost,year,city,state,DIST01,DIST02,DIST03,DIST04,DIST05,DIST06,DIST07,DIST08,DIST09,DIST10,DIST11,DIST12,DIST13,DIST14,DIST15,DIST16,DIST17,DIST18,DIST19,big_address,Address,LAT,LON
291,1621 6TH ST,787020000,153,,,Austin,TX,G35,N14,L51,P04,C10,J04,S01,T42,,,,A01,,,,B05,ALL,ACC,CA3,"1621 6TH ST, Austin, TX, 787020000","1621 6TH ST, Austin, TX, 787020000",30.262888,-97.72602
292,2200 WILLOW CREEK DR,787410000,153,176298.69281,1973,Austin,TX,G21,N21,L51,P04,C10,J04,S01,T42,,,,A01,,,,B05,ALL,ACC,CA3,"2200 WILLOW CREEK DR, Austin, TX, 787410000","2200 WILLOW CREEK DR, Austin, TX, 787410000",30.232277,-97.72937
293,3101 WELLS BRANCH PKWY,787280000,153,283111.111111,1994,Austin,TX,G17,N14,L50,P02,CEJ,J02,S14,,M21,E02,,A01,,,L02,B10,ALL,ACC,,"3101 WELLS BRANCH PKWY, Austin, TX, 787280000","3101 WELLS BRANCH PKWY, Austin, TX, 787280000",30.440943,-97.69348
294,5608 AVENUE F,787510000,153,347601.30719,2015,Austin,TX,G10,N14,L49,P01,C10,J01,S01,T43,,,,A01,,,,B10,ALL,ACC,CA4,"5608 AVENUE F, Austin, TX, 787510000","5608 AVENUE F, Austin, TX, 787510000",30.321169,-97.718925
295,6212 CROW LN,787450000,153,,,Austin,TX,G35,N21,L51,P04,C10,J03,S01,T46,,,,A01,,,,B05,ALL,ACC,CA2,"6212 CROW LN, Austin, TX, 787450000","6212 CROW LN, Austin, TX, 787450000",30.197266,-97.771194
296,7601 RIALTO BLVD,787350000,153,,,Austin,TX,G21,N24,L47,P03,C10,J03,S01,T45,,,Q06,A01,Q10,R10,,B05,ALL,ACC,CA8,"7601 RIALTO BLVD, Austin, TX, 787350000","7601 RIALTO BLVD, Austin, TX, 787350000",30.251404,-97.86902
297,8054 EXCHANGE DR,787540000,153,250653.594771,1999,Austin,TX,G10,N14,L46,P01,C10,J01,S11,,,,,A01,,,,B10,ALL,ACC,CA1,"8054 EXCHANGE DR, Austin, TX, 787540000","8054 EXCHANGE DR, Austin, TX, 787540000",30.332664,-97.66504
298,8801 LA CRESADA DR,787490000,153,,,Austin,TX,G25,N25,L48,P03,C10,J03,S01,T47,,,Q00,A01,Q04,,,B05,ALL,ACC,CA8,"8801 LA CRESADA DR, Austin, TX, 787490000","8801 LA CRESADA DR, Austin, TX, 787490000",30.20639,-97.86502
299,8805 NORTH PLZ,787530000,153,177836.601307,1979,Austin,TX,G35,N14,L46,P01,C10,J01,S01,T41,,,,A01,,,,B10,ALL,ACC,CA4,"8805 NORTH PLZ, Austin, TX, 787530000","8805 NORTH PLZ, Austin, TX, 787530000",30.351412,-97.68742
300,11701 METRIC BLVD,787580000,152,177302.032895,1985,Austin,TX,G10,N14,L49,P02,C10,J02,S13,,,,,A01,,,,B10,ALL,ACC,CA7,"11701 METRIC BLVD, Austin, TX, 787580000","11701 METRIC BLVD, Austin, TX, 787580000",30.396946,-97.705185
301,421 3RD ST,787010000,152,534825.0,2007,Austin,TX,G21,N14,L49,P03,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"421 3RD ST, Austin, TX, 787010000","421 3RD ST, Austin, TX, 787010000",30.2663,-97.74759
302,5800 TECHNI CENTER DR,787210000,152,108348.482895,2002,Austin,TX,G25,N14,L46,P01,C10,J01,S01,T41,,,,A01,,,,B05,ALL,ACC,CA1,"5800 TECHNI CENTER DR, Austin, TX, 787210000","5800 TECHNI CENTER DR, Austin, TX, 787210000",30.278172,-97.67172
303,2000 CEDAR BEND DR,787580000,151,246655.629139,1985,Austin,TX,G17,N14,L50,P02,C10,J02,S01,T43,,,,A01,,,,B10,ALL,ACC,CA7,"2000 CEDAR BEND DR, Austin, TX, 787580000","2000 CEDAR BEND DR, Austin, TX, 787580000",30.408451,-97.69773
304,3400 SHORELINE DR,787280000,151,,,Austin,TX,G17,N14,L50,P02,CEJ,J02,S14,,,E02,,A01,,,L02,B10,ALL,ACC,,"3400 SHORELINE DR, Austin, TX, 787280000","3400 SHORELINE DR, Austin, TX, 787280000",30.457294,-97.687065
305,8800 1ST ST,787480000,151,306608.0,2015,Austin,TX,G35,N21,L48,P04,C10,J03,S01,T46,,,Q00,A01,Q04,,,B05,ALL,ACC,CA2,"8800 1ST ST, Austin, TX, 787480000","8800 1ST ST, Austin, TX, 787480000",30.175402,-97.79859
306,201 LAVACA ST,787010000,150,479264.313333,2004,Austin,TX,G21,N14,L49,P03,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"201 LAVACA ST, Austin, TX, 787010000","201 LAVACA ST, Austin, TX, 787010000",30.26507,-97.74655
307,2716 BARTON CREEK BLVD,787350000,150,437493.333333,1997,Austin,TX,G21,N24,L47,P03,CEJ,J03,S01,T45,M60,E03,Q06,,Q10,,,B05,ALL,ACC,,"2716 BARTON CREEK BLVD, Austin, TX, 787350000","2716 BARTON CREEK BLVD, Austin, TX, 787350000",30.288939,-97.870964
308,5800 BRODIE LN,787450000,150,,,Austin,TX,G21,N14,L48,P03,,J03,S01,T45,,,Q00,,Q05,,,B05,ALL,ACC,,"5800 BRODIE LN, Austin, TX, 787450000","5800 BRODIE LN, Austin, TX, 787450000",30.226444,-97.82249
309,901 NEW MEISTER LN,786600000,150,,,Austin,TX,G17,N14,L50,P01,C04,J02,S13,,,E02,,,,,,B10,ALL,AC2,,"901 NEW MEISTER LN, Austin, TX, 786600000","901 NEW MEISTER LN, Austin, TX, 786600000",30.480915554,-97.6269693877
310,11624 JOLLYVILLE RD,787590000,149,,,Austin,TX,G17,N14,L50,P03,C10,J02,S01,T44,,,,A01,,,,B10,ALL,ACC,CA10,"11624 JOLLYVILLE RD, Austin, TX, 787590000","11624 JOLLYVILLE RD, Austin, TX, 787590000",30.41691,-97.74965
311,3707 MANCHACA RD,787040000,149,198176.644295,1974,Austin,TX,G21,N14,L49,P04,C10,J03,S01,T46,,,Q00,A01,Q05,,,B05,ALL,ACC,CA5,"3707 MANCHACA RD, Austin, TX, 787040000","3707 MANCHACA RD, Austin, TX, 787040000",30.236364,-97.784164
312,7610 CAMERON RD,787520000,148,195365.817568,1985,Austin,TX,G10,N14,L46,P01,C10,J01,S01,T41,,,,A01,,,,B10,ALL,ACC,CA4,"7610 CAMERON RD, Austin, TX, 787520000","7610 CAMERON RD, Austin, TX, 787520000",30.33131,-97.68741
313,801 24TH ST,787050000,148,260878.378378,1968,Austin,TX,G21,N14,L49,P02,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"801 24TH ST, Austin, TX, 787050000","801 24TH ST, Austin, TX, 787050000",30.288109,-97.74716
314,11110 TOM ADAMS DR,787530000,147,204091.333333,2012,Austin,TX,G10,N14,L50,P01,C10,J02,S01,T41,,,,A01,,,,B10,ALL,ACC,CA1,"11110 TOM ADAMS DR, Austin, TX, 787530000","11110 TOM ADAMS DR, Austin, TX, 787530000",30.3735,-97.66918
315,12007 LAMAR BLVD,787530000,147,234707.482993,2003,Austin,TX,G10,N14,L50,P02,C10,J02,S01,T43,,,,A01,,,,B10,ALL,ACC,CA7,"12007 LAMAR BLVD, Austin, TX, 787530000","12007 LAMAR BLVD, Austin, TX, 787530000",30.391392,-97.68202
316,1700 TERI RD,787440000,147,,,Austin,TX,G35,N21,L51,P04,C10,J04,S01,T42,,,,A01,,,,B05,ALL,ACC,CA2,"1700 TERI RD, Austin, TX, 787440000","1700 TERI RD, Austin, TX, 787440000",30.204674,-97.756485
317,2250 RIDGEPOINT DR,787540000,147,166523.809524,1986,Austin,TX,G35,N14,L46,P01,C10,J01,S11,,,,,A01,,,,B10,ALL,ACC,CA1,"2250 RIDGEPOINT DR, Austin, TX, 787540000","2250 RIDGEPOINT DR, Austin, TX, 787540000",30.329437,-97.6767
318,43 RAINEY ST,787010000,147,,,Austin,TX,G21,N14,L51,P04,C10,J04,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"43 RAINEY ST, Austin, TX, 787010000","43 RAINEY ST, Austin, TX, 787010000",30.25721,-97.73937
319,501 OLTORF ST,787040000,147,280053.435374,2012,Austin,TX,G21,N14,L51,P04,C10,J04,S01,T46,,,,A01,,,,B05,ALL,ACC,CA9,"501 OLTORF ST, Austin, TX, 787040000","501 OLTORF ST, Austin, TX, 787040000",30.2413895112,-97.7581424645
320,603 DAVIS ST,787010000,146,704826.2,2006,Austin,TX,G21,N14,L51,P04,C10,J04,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"603 DAVIS ST, Austin, TX, 787010000","603 DAVIS ST, Austin, TX, 787010000",30.260391,-97.73918
321,7700 CAPITAL OF TEXAS HWY,787310000,146,211900.630137,1997,Austin,TX,G10,N14,L48,P03,C10,J02,S01,T44,,,,A01,,,,B10,ALL,ACC,CA10,"7700 CAPITAL OF TEXAS HWY, Austin, TX, 787310000","7700 CAPITAL OF TEXAS HWY, Austin, TX, 787310000",30.373749,-97.78339
322,1500 WILLIAM CANNON DR,787450000,145,132579.131034,1984,Austin,TX,G35,N21,L48,P04,C10,J03,S01,T46,,,Q00,A01,Q05,,,B05,ALL,ACC,CA2,"1500 WILLIAM CANNON DR, Austin, TX, 787450000","1500 WILLIAM CANNON DR, Austin, TX, 787450000",30.200962,-97.80037
323,3607 GREYSTONE DR,787310000,145,475172.413793,1977,Austin,TX,G10,N14,L48,P02,C10,J02,S01,T44,,,,A01,,,,B10,ALL,ACC,CA10,"3607 GREYSTONE DR, Austin, TX, 787310000","3607 GREYSTONE DR, Austin, TX, 787310000",30.35824,-97.752235
324,10801 OLD MANCHACA RD,787480000,144,213076.604167,2001,Austin,TX,G21,N14,L48,P04,C10,J03,S01,T47,,,Q00,A01,Q04,,,B05,ALL,ACC,CA5,"10801 OLD MANCHACA RD, Austin, TX, 787480000","10801 OLD MANCHACA RD, Austin, TX, 787480000",30.162636,-97.83154
325,4700 GUADALUPE ST,787510000,144,,,Austin,TX,G10,N14,L49,P02,C10,J05,S01,T44,,,,A01,,,,B05,ALL,ACC,CA9,"4700 GUADALUPE ST, Austin, TX, 787510000","4700 GUADALUPE ST, Austin, TX, 787510000",30.315159,-97.732346
326,1700 4TH ST,787020000,143,615000.0,2015,Austin,TX,G35,N14,L51,P04,C10,J04,S01,T42,,,,A01,,,,B05,ALL,ACC,CA3,"1700 4TH ST, Austin, TX, 787020000","1700 4TH ST, Austin, TX, 787020000",30.260462,-97.72523
327,9101 LA CRESADA DR,787490000,143,,,Austin,TX,G25,N25,L48,P03,C10,J03,S01,T47,,,Q00,A01,Q04,,,B05,ALL,ACC,CA8,"9101 LA CRESADA DR, Austin, TX, 787490000","9101 LA CRESADA DR, Austin, TX, 787490000",30.203917,-97.86749
328,1016 CAMINO LA COSTA,787520000,142,147854.859155,1979,Austin,TX,G10,N14,L46,P01,C10,J01,S01,T41,,,,A01,,,,B10,ALL,ACC,CA4,"1016 CAMINO LA COSTA, Austin, TX, 787520000","1016 CAMINO LA COSTA, Austin, TX, 787520000",30.3263429084,-97.7018995359
329,1500 CROSSING PL,787410000,142,,,Austin,TX,G35,N21,L51,P04,C10,J04,S02,D21,,,,A01,,,,B05,ALL,ACC,CA3,"1500 CROSSING PL, Austin, TX, 787410000","1500 CROSSING PL, Austin, TX, 787410000",30.235899,-97.71436
330,2101 BURTON DR,787410000,142,128157.533803,1971,Austin,TX,G21,N21,L51,P04,C10,J04,S01,T42,,,,A01,,,,B05,ALL,ACC,CA3,"2101 BURTON DR, Austin, TX, 787410000","2101 BURTON DR, Austin, TX, 787410000",30.232635,-97.732346
331,6307 BLUFF SPRINGS RD,787440000,142,237753.521127,1996,Austin,TX,G35,N21,L51,P04,C10,J04,S01,T42,,,,A01,,,,B05,ALL,ACC,CA2,"6307 BLUFF SPRINGS RD, Austin, TX, 787440000","6307 BLUFF SPRINGS RD, Austin, TX, 787440000",30.192354,-97.76522
332,7117 WOOD HOLLOW DR,787310000,142,266591.549296,1979,Austin,TX,G10,N14,L48,P02,C10,J02,S01,T44,,,,A01,,,,B10,ALL,ACC,CA10,"7117 WOOD HOLLOW DR, Austin, TX, 787310000","7117 WOOD HOLLOW DR, Austin, TX, 787310000",30.354069,-97.752754
333,12151 IH 35,787530000,141,,,Austin,TX,G17,N14,L50,P01,C10,J01,S13,,,,,A01,,,,B10,ALL,ACC,CA1,"12151 IH 35, Austin, TX, 787530000","12151 IH 35, Austin, TX, 787530000",30.3943296736,-97.6712788913
334,1900 ONION CREEK PKWY,787480000,141,287999.524823,2016,Austin,TX,G21,N25,L47,P03,C10,J03,S01,T46,,,Q00,A01,Q04,,,B05,ALL,ACC,CA5,"1900 ONION CREEK PKWY, Austin, TX, 787480000","1900 ONION CREEK PKWY, Austin, TX, 787480000",30.138035,-97.80068
335,5001 CONVICT HILL RD,787490000,141,193432.624113,1985,Austin,TX,G25,N25,L48,P03,C10,J03,S01,T47,,,Q00,A01,Q04,,,B05,ALL,ACC,CA8,"5001 CONVICT HILL RD, Austin, TX, 787490000","5001 CONVICT HILL RD, Austin, TX, 787490000",30.217352,-97.85132
336,3050 TAMARRON BLVD,787460000,140,307726.214286,1994,Austin,TX,G25,N14,L48,P03,C10,J03,S04,,,,Q00,A01,Q05,,,B05,ALL,ACC,CA8,"3050 TAMARRON BLVD, Austin, TX, 787460000","3050 TAMARRON BLVD, Austin, TX, 787460000",30.259155,-97.803215
337,625 STASSNEY LN,787450000,140,,,Austin,TX,G35,N21,L51,P04,C10,J03,S01,T42,,,,A01,,,,B05,ALL,ACC,CA3,"625 STASSNEY LN, Austin, TX, 787450000","625 STASSNEY LN, Austin, TX, 787450000",30.201418,-97.7699
338,7201 CONGRESS AVE,787450000,140,228423.0,1944,Austin,TX,G35,N21,L48,P04,C10,J03,S01,T46,,,Q00,A01,Q05,,,B05,ALL,ACC,CA2,"7201 CONGRESS AVE, Austin, TX, 787450000","7201 CONGRESS AVE, Austin, TX, 787450000",30.186512,-97.781
339,333 SLAUGHTER LN,787440000,139,230602.0,2003,Austin,TX,G35,N25,L47,P04,C10,J04,S01,T46,,,,A01,,,,B05,ALL,ACC,CA5,"333 SLAUGHTER LN, Austin, TX, 787440000","333 SLAUGHTER LN, Austin, TX, 787440000",30.1668,-97.78247
340,3543 GREYSTONE DR,787310000,139,194082.293525,1976,Austin,TX,G10,N14,L48,P02,C10,J02,S01,T44,,,,A01,,,,B10,ALL,ACC,CA10,"3543 GREYSTONE DR, Austin, TX, 787310000","3543 GREYSTONE DR, Austin, TX, 787310000",30.35833,-97.75107
341,5453 BURNET RD,787560000,139,341834.532374,2013,Austin,TX,G10,N14,L49,P02,C10,J05,S01,T44,,,,A01,,,,B05,ALL,ACC,CA7,"5453 BURNET RD, Austin, TX, 787560000","5453 BURNET RD, Austin, TX, 787560000",30.329407,-97.73982
342,9306 GREAT HILLS TRL,787590000,139,,,Austin,TX,G10,N14,L50,P03,C10,J02,S01,T44,,,,A01,,,,B10,ALL,ACC,CA10,"9306 GREAT HILLS TRL, Austin, TX, 787590000","9306 GREAT HILLS TRL, Austin, TX, 787590000",30.391611,-97.75782
343,12430 METRIC BLVD,787580000,138,245502.326087,2006,Austin,TX,G17,N14,L50,P02,C10,J02,S01,T43,,,,A01,,,,B10,ALL,ACC,CA7,"12430 METRIC BLVD, Austin, TX, 787580000","12430 METRIC BLVD, Austin, TX, 787580000",30.41232,-97.691246
344,14233 THE LAKES BLVD,786600000,138,251516.0,,Austin,TX,G17,N14,L46,P01,C10,J01,S13,,,,,A01,,,,B10,ALL,ACC,CA7,"14233 THE LAKES BLVD, Austin, TX, 786600000","14233 THE LAKES BLVD, Austin, TX, 786600000",30.4291512073,-97.6655543532
345,3300 PARKER LN,787410000,138,187557.971014,1983,Austin,TX,G21,N21,L51,P04,C10,J04,S01,T42,,,,A01,,,,B05,ALL,ACC,CA3,"3300 PARKER LN, Austin, TX, 787410000","3300 PARKER LN, Austin, TX, 787410000",30.223015,-97.7422
346,9308 1ST ST,787480000,138,330535.166667,2013,Austin,TX,G35,N25,L48,P04,C10,J03,S01,T46,,,Q00,A01,Q04,,,B05,ALL,ACC,CA5,"9308 1ST ST, Austin, TX, 787480000","9308 1ST ST, Austin, TX, 787480000",30.16917,-97.80139
347,13401 METRIC BLVD,787270000,137,307160.583942,1996,Austin,TX,G17,N14,L50,P01,C10,J02,S13,,,,,A01,,,,B10,ALL,ACC,CA7,"13401 METRIC BLVD, Austin, TX, 787270000","13401 METRIC BLVD, Austin, TX, 787270000",30.424025,-97.68003
348,1401 RUNDBERG LN,787530000,137,10023.0,2017,Austin,TX,G35,N14,L46,P01,C10,J01,S01,T41,,,,A01,,,,B10,ALL,ACC,CA4,"1401 RUNDBERG LN, Austin, TX, 787530000","1401 RUNDBERG LN, Austin, TX, 787530000",30.352005,-97.6781
349,2215 POST RD,787040000,137,272516.0,1981,Austin,TX,G21,N14,L51,P04,C10,J04,S01,T46,,,,A01,,,,B05,ALL,ACC,CA9,"2215 POST RD, Austin, TX, 787040000","2215 POST RD, Austin, TX, 787040000",30.241163,-97.75169
350,2600 SCOFIELD RIDGE PKWY,787270000,137,617262.773723,1999,Austin,TX,G17,N14,L50,P01,C10,J02,S13,,,,,A01,,,,B10,ALL,ACC,CA7,"2600 SCOFIELD RIDGE PKWY, Austin, TX, 787270000","2600 SCOFIELD RIDGE PKWY, Austin, TX, 787270000",30.429749,-97.69633
351,701 WOODWARD ST,787040000,137,84175.189781,2002,Austin,TX,G35,N14,L51,P04,C10,J04,S01,T42,,,,A01,,,,B05,ALL,ACC,CA3,"701 WOODWARD ST, Austin, TX, 787040000","701 WOODWARD ST, Austin, TX, 787040000",30.22583,-97.75215
352,3517 NORTH HILLS DR,787310000,136,271544.802941,1979,Austin,TX,G25,N14,L48,P02,C10,J05,S01,T44,,,,A01,,,,B10,ALL,ACC,CA10,"3517 NORTH HILLS DR, Austin, TX, 787310000","3517 NORTH HILLS DR, Austin, TX, 787310000",30.349651,-97.755104
353,605 MASTERSON PASS,787530000,136,108885.845588,1996,Austin,TX,G35,N14,L50,P01,C10,J01,S01,T43,,,,A01,,,,B10,ALL,ACC,CA4,"605 MASTERSON PASS, Austin, TX, 787530000","605 MASTERSON PASS, Austin, TX, 787530000",30.370434,-97.69076
354,8715 SH 71,787350000,136,,,Austin,TX,G21,N24,L47,P03,C10,J03,S01,T47,,,Q06,A01,Q10,,,B05,ALL,ACC,CA8,"8715 SH 71, Austin, TX, 787350000","8715 SH 71, Austin, TX, 787350000",30.250552675,-97.895746413
355,91 RAINEY ST,787010000,136,,,Austin,TX,G21,N14,L51,P04,C10,J04,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"91 RAINEY ST, Austin, TX, 787010000","91 RAINEY ST, Austin, TX, 787010000",30.26018,-97.73826
356,1900 BARTON SPRINGS RD,787040000,135,636262.0,,Austin,TX,G21,N14,L49,P03,C10,J03,S01,T45,,,Q00,A01,Q05,,,B05,ALL,ACC,CA5,"1900 BARTON SPRINGS RD, Austin, TX, 787040000","1900 BARTON SPRINGS RD, Austin, TX, 787040000",30.264189,-97.76421
357,3500 CAPITAL OF TEXAS HWY,787460000,135,289989.244444,2007,Austin,TX,G25,N14,L48,P02,C10,J03,S04,,,,Q06,A01,Q10,,,B05,ALL,ACC,CA10,"3500 CAPITAL OF TEXAS HWY, Austin, TX, 787460000","3500 CAPITAL OF TEXAS HWY, Austin, TX, 787460000",30.3328742981,-97.8079591576
358,615 7TH ST,787010000,135,662860.577778,2015,Austin,TX,G21,N14,L49,P03,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"615 7TH ST, Austin, TX, 787010000","615 7TH ST, Austin, TX, 787010000",29.7761360044,-96.1604741889
359,706 MARTIN LUTHER KING JR BLVD,787010000,135,,,Austin,TX,G21,N14,L49,P02,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"706 MARTIN LUTHER KING JR BLVD, Austin, TX, 787010000","706 MARTIN LUTHER KING JR BLVD, Austin, TX, 787010000",30.282917,-97.746025
360,1401 ST EDWARDS DR,787040000,134,114781.328358,1972,Austin,TX,G21,N14,L51,P04,C10,J04,S01,T46,,,,A01,,,,B05,ALL,ACC,CA3,"1401 ST EDWARDS DR, Austin, TX, 787040000","1401 ST EDWARDS DR, Austin, TX, 787040000",30.229137,-97.74674
361,1824 IH 35,787040000,134,520356.0,,Austin,TX,G21,N14,L51,P04,C10,J04,S01,T46,,,,A01,,,,B05,ALL,ACC,CA9,"1824 IH 35, Austin, TX, 787040000","1824 IH 35, Austin, TX, 787040000",30.2397464274,-97.7381503975
362,6503 BLUFF SPRINGS RD,787440000,134,284544.776119,1987,Austin,TX,G35,N21,L51,P04,C10,J04,S01,T42,,,,A01,,,,B05,ALL,ACC,CA2,"6503 BLUFF SPRINGS RD, Austin, TX, 787440000","6503 BLUFF SPRINGS RD, Austin, TX, 787440000",30.190506,-97.76688
363,7631 US 290 HWY,787360000,134,,,Austin,TX,G21,N25,L47,P03,C10,J03,S01,T47,,,Q06,A01,Q10,,,B05,ALL,ACC,CA8,"7631 US 290 HWY, Austin, TX, 787360000","7631 US 290 HWY, Austin, TX, 787360000",30.2291827766,-97.883027204
364,9301 OLD BEE CAVES RD,787350000,134,299917.977612,2015,Austin,TX,G21,N24,L47,P03,C10,J03,S01,T47,,,Q06,A01,Q10,R10,,B05,ALL,ACC,CA8,"9301 OLD BEE CAVES RD, Austin, TX, 787350000","9301 OLD BEE CAVES RD, Austin, TX, 787350000",30.260065,-97.90114
365,1026 CLAYTON LN,787230000,132,62045.4545455,2002,Austin,TX,G10,N14,L46,P01,C10,J01,S01,T41,,,,A01,,,,B05,ALL,ACC,CA1,"1026 CLAYTON LN, Austin, TX, 787230000","1026 CLAYTON LN, Austin, TX, 787230000",30.319304,-97.7039
366,11203 FM 2222 RD,787300000,132,337367.0,2002,Austin,TX,G25,N14,L47,P02,C10,J02,S10,,,,,A01,,,,B10,ALL,ACC,CA6,"11203 FM 2222 RD, Austin, TX, 787300000","11203 FM 2222 RD, Austin, TX, 787300000",30.3996730467,-97.8510085789
367,4100 SLAUGHTER LN,787490000,132,259513.310606,2008,Austin,TX,G25,N14,L47,P03,C10,J03,S01,T47,,,Q00,A01,Q04,,,B05,ALL,ACC,CA8,"4100 SLAUGHTER LN, Austin, TX, 787490000","4100 SLAUGHTER LN, Austin, TX, 787490000",30.189285,-97.85672
368,1034 LIBERTY PARK DR,787460000,131,,,Austin,TX,G25,N14,L48,P03,C10,J03,S04,,,,Q00,A01,Q05,,,B05,ALL,ACC,CA8,"1034 LIBERTY PARK DR, Austin, TX, 787460000","1034 LIBERTY PARK DR, Austin, TX, 787460000",30.265808,-97.788506
369,11901 SWEARINGEN DR,787580000,131,175427.0,1985,Austin,TX,G10,N14,L49,P02,C10,J02,S13,,,,,A01,,,,B10,ALL,ACC,CA7,"11901 SWEARINGEN DR, Austin, TX, 787580000","11901 SWEARINGEN DR, Austin, TX, 787580000",30.395754,-97.69253
370,2001 MOPAC EXPY,787460000,131,280087.458015,1998,Austin,TX,G21,N14,L48,P03,C10,J03,S04,,,,Q00,A01,Q05,,,B05,ALL,ACC,CA8,"2001 MOPAC EXPY, Austin, TX, 787460000","2001 MOPAC EXPY, Austin, TX, 787460000",30.2591390995,-97.7953084091
371,300 RIVERSIDE DR,787040000,131,739817.137405,1968,Austin,TX,G21,N14,L51,P04,C10,J04,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"300 RIVERSIDE DR, Austin, TX, 787040000","300 RIVERSIDE DR, Austin, TX, 787040000",30.2542203336,-97.7442543376
372,3210 ESPERANZA XING,787580000,131,393710.458015,2013,Austin,TX,G10,N14,L49,P02,C10,J02,S01,T43,,,,A01,,,,B10,ALL,ACC,CA7,"3210 ESPERANZA XING, Austin, TX, 787580000","3210 ESPERANZA XING, Austin, TX, 787580000",30.399807,-97.723564
373,5200 LAMAR BLVD,787510000,131,210977.099237,1983,Austin,TX,G10,N14,L49,P02,C10,J05,S01,T44,,,,A01,,,,B05,ALL,ACC,CA7,"5200 LAMAR BLVD, Austin, TX, 787510000","5200 LAMAR BLVD, Austin, TX, 787510000",30.319729,-97.730225
374,7744 NORTHCROSS DR,787570000,131,,,Austin,TX,G10,N14,L49,P02,C10,J05,S01,T44,,,,A01,,,,B10,ALL,ACC,CA7,"7744 NORTHCROSS DR, Austin, TX, 787570000","7744 NORTHCROSS DR, Austin, TX, 787570000",30.355024,-97.73638
375,1411 GRACY FARMS LN,787580000,130,260731.0,1985,Austin,TX,G10,N14,L49,P02,C10,J02,S13,,,,,A01,,,,B10,ALL,ACC,CA7,"1411 GRACY FARMS LN, Austin, TX, 787580000","1411 GRACY FARMS LN, Austin, TX, 787580000",30.3958,-97.69273
376,1801 LAVACA ST,787010000,130,684515.0,,Austin,TX,G21,N14,L49,P03,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"1801 LAVACA ST, Austin, TX, 787010000","1801 LAVACA ST, Austin, TX, 787010000",30.280418,-97.74084
377,500 GRAND AVENUE PKWY,786600000,130,72600.0,2008,Austin,TX,G17,N14,L50,P02,C04,J02,S13,,,E02,,,,,,B10,ALL,AC2,,"500 GRAND AVENUE PKWY, Austin, TX, 786600000","500 GRAND AVENUE PKWY, Austin, TX, 786600000",30.47136,-97.641365
378,7201 WOOD HOLLOW DR,787310000,130,346200.0,1968,Austin,TX,G10,N14,L48,P02,C10,J02,S01,T44,,,,A01,,,,B10,ALL,ACC,CA10,"7201 WOOD HOLLOW DR, Austin, TX, 787310000","7201 WOOD HOLLOW DR, Austin, TX, 787310000",30.356407,-97.75129
379,300 FERGUSON DR,787530000,129,346526.710078,2012,Austin,TX,G10,N14,L50,P02,C10,J02,S01,T43,,,,A01,,,,B10,ALL,ACC,CA4,"300 FERGUSON DR, Austin, TX, 787530000","300 FERGUSON DR, Austin, TX, 787530000",30.376686,-97.68668
380,3105 IH 35,787410000,129,,,Austin,TX,G21,N21,L51,P04,C10,J04,S01,T42,,,,A01,,,,B05,ALL,ACC,CA3,"3105 IH 35, Austin, TX, 787410000","3105 IH 35, Austin, TX, 787410000",30.2889046389,-97.7231340598
381,400 ANDERSON LN,787520000,129,153123.382171,1973,Austin,TX,G35,N14,L46,P01,C10,J01,S01,T43,,,,A01,,,,B10,ALL,ACC,CA4,"400 ANDERSON LN, Austin, TX, 787520000","400 ANDERSON LN, Austin, TX, 787520000",30.34244966,-97.7030790047
382,500 ANDERSON LN,787520000,129,21830.2751938,1969,Austin,TX,G35,N14,L46,P01,C10,J01,S01,T43,,,,A01,,,,B10,ALL,ACC,CA4,"500 ANDERSON LN, Austin, TX, 787520000","500 ANDERSON LN, Austin, TX, 787520000",30.341854,-97.70259
383,7685 NORTHCROSS DR,787570000,129,,,Austin,TX,G10,N14,L49,P02,C10,J05,S01,T44,,,,A01,,,,B10,ALL,ACC,CA7,"7685 NORTHCROSS DR, Austin, TX, 787570000","7685 NORTHCROSS DR, Austin, TX, 787570000",30.353613,-97.73571
384,2915 AFTONSHIRE WAY,787480000,128,140024.960156,1986,Austin,TX,G21,N14,L48,P04,C10,J03,S01,T47,M33,,Q00,A01,Q04,,,B05,ALL,ACC,CA5,"2915 AFTONSHIRE WAY, Austin, TX, 787480000","2915 AFTONSHIRE WAY, Austin, TX, 787480000",30.180836,-97.837776
385,5700 TAPADERA TRACE LN,787270000,128,673114.0,1999,Austin,TX,G17,N14,L50,P02,C10,J02,S01,T44,,,,A01,,,,B10,ALL,ACC,CA6,"5700 TAPADERA TRACE LN, Austin, TX, 787270000","5700 TAPADERA TRACE LN, Austin, TX, 787270000",30.430456,-97.742775
