STREET1,STREET2,Distance,Lat,Lon
DENFIELD ST,SPRINGDALE RD,0.0798890411,,
RIBBECKE AVE,SPRINGDALE RD,0.023971407,30.2808764,-97.68585
HAROLD CT,TANNEHILL LN,0.0776599065,,
MANSELL AVE,NICKOLS AVE,0.0926233895,,
GLOMAR AVE,WALDORF AVE,0.0160624639,30.2812487,-97.6890532
FORT BRANCH BLVD,HUDSON ST,0.0376840029,30.2743859,-97.6807421
DOWNS DR,WEBBERVILLE RD,0.0178673369,30.281136,-97.6784672
HUDSON ST,WILCAB RD,0.0726516049,,
E M FRANKLIN AVE,GRANT ST,0.0217859868,30.2770132,-97.6941955
LOTT AVE,OMEGA AVE,0.0444168533,,
ROB SCOTT ST,WEBBERVILLE RD,0.0457593598,,
GREENWOOD AVE,RIDGE DR,0.0371069751,,
CHRISTIE DR,LEDESMA RD,0.0173352836,30.2692948,-97.6805169
MEANDER DR,RHODES RD,0.0665465265,,
COMETA ST,LESLIE AVE,0.0841327395,30.2814483,-97.6902045
BLUESTEIN DR,ED BLUESTEIN BLVD,0.0894962657,30.2731073,-97.6685914
ELMIRA RD,LESLIE AVE,0.0306393987,30.2825244,-97.687254
ALF AVE,MARKS CIR,0.0952739513,,
ELEANOR ST,LEDESMA RD,0.075686769,,
DENFIELD ST,SARA DR,0.0449668785,30.271396,-97.6901273
GARDNER CV,GARDNER RD,0.0192854439,30.261436,-97.6801892
BROADHILL DR,MARTIN LUTHER KING BLVD,0.0401216798,30.28645,-97.6763916
12TH ST,13TH ST,0.0252731223,29.882898,-97.861324
AIRPORT BLVD,BENGSTON ST,0.0574460511,,
DENVER AVE,PALO PINTO DR,0.04466073,30.2859413,-97.7006254
ED BLUESTEIN BLVD,ED BLUESTEIN BLVD SVRD,0.0623755839,,
ELMSGROVE DR,MARTIN LUTHER KING BLVD,0.0883965611,,
DOWNS DR,SAMUEL HUSTON AVE,0.0536786263,28.8331979,-96.986211
SPRINGDALE RD,WALLY AVE,0.0518760215,30.2817311,-97.6853163
16TH ST,AIRPORT BLVD,0.0073281068,30.2797145,-97.7021682
NORTHDALE DR,TOWER TRL,0.0500709869,,
DELANO ST,MEANDER DR,0.054446968,33.9326044,-102.3398178
GRASSLAND DR,OLIVE SPARROW DR,0.0178833407,,
SANTA ANNA ST,STAR LIGHT TER,0.0779639882,,
HEFLIN LN,SPRINGDALE RD,0.0300481957,,
ELEANOR ST,LOTT AVE,0.0544172601,,
GREENWOOD AVE,PENNSYLVANIA AVE,0.0190661308,30.2755202,-97.6969729
GOLDEN CANARY LN,MULBERRY GROVE LN,0.0271547166,,
FOUNTAIN GRASS LN,PLUM PEACH BND,0.0807505965,,
CRYSTAL STREAM PASS,STAR JASMINE CT,0.0403997502,,
LEDESMA RD,TANNEY ST,0.0615676378,,
ADINA ST,RHODES RD,0.0367818486,,
CESSAL AVE,LEDESMA RD,0.0068857961,30.2712153,-97.6839405
E M FRANKLIN AVE,PENNSYLVANIA AVE,0.0887186375,,
JAIN LN,MAHAN DR,0.0170193817,30.2619411,-97.6856335
SERENADE ST,STAR JASMINE DR,0.0200692915,,
BUNDY CREST CIR,CARSONHILL DR,0.0332734087,,
DELORES AVE,EASTFIELD AVE,0.0350177429,30.2761436,-97.6856545
BUNDYHILL CIR,MARTIN LUTHER KING BLVD,0.0734988941,30.2863627,-97.6773048
MARTIN LUTHER KING BLVD,OLDFORT HILL DR,0.026081784,30.28656,-97.6752189
HILLSPRING CIR,MARTIN LUTHER KING BLVD,0.0521596223,,
DELANO ST,HUDSON ST,0.0272282225,30.2731404,-97.6778954
J J SEABROOK DR,LUNA ST,0.0816935575,,
ED BLUESTEIN BLVD,TANNEHILL LN,0.0505617344,,
ADINA ST,REDONDO DR,0.0959179655,,
PROCK LN,TURA LN,0.0552183199,,
MARLO DR,RIMROCK TRL,0.0264871567,30.2900805,-97.6837857
TEMPLE DR,WILDROSE DR,0.0269724735,30.2843224,-97.6881807
DENVER AVE,PERSHING DR,0.0233066229,,
LEMON TREE PATH,SEEDLING PATH,0.0581266521,,
ELMSGROVE DR,WOODMOOR DR,0.0491493918,30.2853648,-97.676605
NORTHDALE DR,RUSSET HILL DR,0.0411984391,30.2901494,-97.6718814
13TH ST,14TH ST,0.0364220253,30.0800575,-96.0842112
J J SEABROOK DR,MARTIN LUTHER KING BLVD,0.0355831555,30.2846045,-97.6905932
BANDERA RD,FILEY CV,0.0496478492,,
COMETA ST,WALDORF AVE,0.036750169,,
CLARY WAY,E M FRANKLIN AVE,0.0214536217,,
CONNALLY LN,NORTHDALE DR,0.0488760017,,
REYES ST,SPRINGDALE RD,0.0589962189,30.2749255,-97.6896788
ADINA ST,BAKER ST,0.0170717133,30.2830964,-97.6795059
MANSELL AVE,MENDOZA DR,0.0346838802,,
ASTOR PL,WILDROSE DR,0.0563468109,,
LOTT AVE,SHUBERG ST,0.0350554588,,
MAP CIR,MARKS CIR,0.034968854,,
LESLIE AVE,VICTORIA DR,0.0513487824,,
ELMIRA RD,FAIRPLAY CT,0.0397151957,,
RIMROCK TRL,TOUCHSTONE ST,0.0302645693,30.2906906,-97.683374
51ST ST,BASSWOOD LN,0.0570608712,,
14TH ST,TILLERY ST,0.0538340117,30.279106,-97.7009441
COMMERCE ST,DELONEY ST,0.023265366,30.2797376,-97.693171
HILLCREST LN,SAMUEL HUSTON AVE,0.0259727512,30.2803787,-97.6756736
GARDNER RD,THURGOOD AVE,0.039111334,,
BAKER ST,RHODES RD,0.0787958181,,
EASTFIELD AVE,LOTT AVE,0.0162322467,30.2772441,-97.6855311
17TH ST,MC KINLEY AVE,0.078027919,30.2803124,-97.7032794
FOUNTAIN GRASS LN,LAVENDER FIELD PATH,0.0472941443,,
STONE GATE CIR,WOODMOOR CIR,0.0918386297,,
CREST AVE,OAK SPRINGS DR,0.0513628523,,
CHARTWELL DR,WINDY BROOK DR,0.0760616887,,
16TH ST,ADRIANE DR,0.0370009063,30.2814665,-97.6909243
BUNDYHILL DR,SINGLE SHOT CIR,0.0310532993,,
CAMBRIDGE CT,MARTIN LUTHER KING BLVD,0.0490744884,,
RUSSET HILL DR,YORK HILL DR,0.016780805,30.2873478,-97.6735958
NIGHT OWL LN,SPRINGDALE RD,0.0147690228,,
ALF AVE,MAP CIR,0.0959927807,,
OMEGA AVE,PROCK LN,0.0187273424,30.2676107,-97.6826342
16TH ST,WALDORF AVE,0.0811294796,,
GOLDEN CANARY LN,STAR JASMINE DR,0.0659468046,,
KIRK AVE,SPRINGDALE RD,0.0549179219,,
LOUIS AVE,NICKOLS AVE,0.0338594683,30.2751803,-97.6856939
KRUEGER LN,NORTHDALE DR,0.0934914434,,
COMETA ST,J J SEABROOK DR,0.0892868816,,
LOUIS AVE,SPRINGDALE RD,0.087456338,,
CELESTE CIR,HEFLIN LN,0.0431663155,30.2849236,-97.6806373
EMERALD LAWN DR,MULBERRY GROVE LN,0.0857406326,,
MARTIN LUTHER KING BLVD,SCOTTSDALE RD,0.0537601615,30.2862205,-97.6788733
ADRIANE DR,MARTIN LUTHER KING BLVD,0.0203865027,30.2844672,-97.6914574
HILLDALE DR,NORTHDALE DR,0.041299743,30.2889921,-97.6701609
NICKOLS AVE,WEBBERVILLE RD,0.049095231,,
NORTHDALE DR,TANNEHILL LN,0.0192690744,30.2879959,-97.6683446
MEDFORD DR,PECAN SPRINGS RD,0.0970607648,,
GUNTER ST,HENNINGER ST,0.0884508491,,
ELMIRA RD,KITTY AVE,0.0168346792,30.2839645,-97.6857277
CAMBRIDGE CT,PALO PINTO DR,0.0853542501,,
JACKIE ROBINSON ST,TANNEHILL LN,0.0447528625,30.2762198,-97.6760117
GARDNER RD,STILES CV,0.0993813655,,
GREENWOOD AVE,MARTIN LUTHER KING BLVD,0.0193572684,30.2834377,-97.6981389
KLEBERG LN,MARLO DR,0.0683797309,30.2904387,-97.6851174
MENDOZA DR,REYES ST,0.0864802452,,
MONTICELLO CIR,WILDROSE DR,0.0485867111,,
BENTSEN LN,HUTCHINSON DR,0.0389212909,30.289634,-97.6694088
ADRIANE DR,COMETA ST,0.0522888747,,
12TH ST,PEREZ ST,0.047604198,30.2782161,-97.6917856
GARLAND AVE,LEDESMA RD,0.023164951,30.271556,-97.6847325
HARVEY ST,SOL WILSON AVE,0.0234003953,30.2754114,-97.702938
FILEY CV,MEANDER DR,0.0168520328,30.2818863,-97.6818937
ADINA ST,SCOTTSDALE RD,0.0672149646,,
HEFLIN LN,MARTIN LUTHER KING BLVD,0.0158005769,30.2858603,-97.682419
EASTFIELD AVE,LOUIS AVE,0.0373127869,,
14TH 1/2 ST,16TH ST,0.0321707243,29.879775,-93.946584
TERRY DR,TURA LN,0.0203608287,30.2676185,-97.6804605
AIRPORT BLVD,RIDGE DR,0.0643295139,30.746665,-99.1815563
DELORES AVE,LOUIS AVE,0.0433403689,,
LAVENDER FIELD PATH,PLUM PEACH BND,0.0692523504,,
FAIRPLAY CT,KITTY AVE,0.0405183091,,
16TH ST,PEREZ ST,0.0354641209,30.2812346,-97.6924199
MAP CIR,SPRINGDALE RD,0.0791182888,,
LOUIS AVE,WEBBERVILLE RD,0.0343704093,30.276637,-97.6877498
TILLEY ST,TOM MILLER ST,0.0303283244,30.2909675,-97.6950122
CONNALLY LN,TOWER TRL,0.0094326807,30.2902436,-97.6700465
CHICO ST,ESTES AVE,0.0185287673,30.269172,-97.6841084
BROADHILL DR,BUNDYHILL CIR,0.0393813325,,
CARMEL DR,J J SEABROOK DR,0.0789440717,,
ESTES AVE,RICHARDINE AVE,0.0480821398,,
LOTUS LN,THURGOOD AVE,0.0241363845,30.2621665,-97.6792228
DON ANN ST,PROCK LN,0.0287917125,30.2693031,-97.6894854
16TH ST,LESLIE AVE,0.0296695906,30.282365,-97.6883474
MARTIN LUTHER KING BLVD,TEMPLE DR,0.0493145506,30.2850509,-97.6877512
BROADHILL DR,BUNDYHILL DR,0.0479354514,,
CHRISTIE DR,PROCK LN,0.0562491321,,
GLOMAR AVE,WALLY AVE,0.0839585551,30.2817311,-97.6853163
LOTT AVE,MASON AVE,0.0320089611,30.2761245,-97.6839835
EBERT AVE,SPUR ST,0.0950257589,,
DARBY ST,WILCAB RD,0.0455269927,30.2710093,-97.6699326
14TH 1/2 ST,14TH ST,0.0477435707,30.2782743,-97.7043774
MEANDER DR,WEBBERVILLE RD,0.0230231674,30.2801392,-97.6799593
FILEY CV,ROB SCOTT ST,0.0800862475,,
BREEDLOVE CT,GREENWOOD AVE,0.0263924934,30.2766835,-97.6972224
RIBBECKE AVE,WALLY AVE,0.0698511124,,
AIRPORT BLVD,GOODWIN AVE,0.0193925026,30.2681023,-97.696273
16TH ST,LOVINGOOD DR,0.0657381847,,
ADINA ST,FILEY CV,0.0345010681,,
PECAN SPRINGS RD,TOUCHSTONE ST,0.0430317453,30.2892783,-97.6804153
ED BLUESTEIN BLVD,MARTIN LUTHER KING BLVD,0.0786016519,30.2845409,-97.6662739
JOLENA CIR,THURGOOD AVE,0.0214650797,30.2620321,-97.6745904
FILEY CV,REDONDO DR,0.0570299688,,
AIRPORT BLVD,THOMPSON ST,0.0591420572,,
BERGER ST,DEWEY ST,0.0261635698,30.2703043,-97.6876391
KITTY AVE,LESLIE AVE,0.0423210129,,
14TH 1/2 ST,MC KINLEY AVE,0.0159059708,30.2788208,-97.7027885
BROOKSWOOD AVE,SAUCEDO ST,0.0631386366,,
GUNTER ST,MUNSON ST,0.0301670351,30.2708298,-97.6961468
NICKOLS AVE,SANTA ANNA ST,0.0154932245,30.2744355,-97.6861591
MARK ST,SPUR ST,0.0407687564,,
ADINA ST,MEANDER DR,0.041528551,,
BUNCHE RD,HILLCREST LN,0.0362892031,30.2786207,-97.6765496
CLARY WAY,TURTLE SPRING CT,0.0376441157,,
BUNDYHILL DR,HOWDEN CIR,0.0235620537,,
EASTFIELD AVE,SANTA ANNA ST,0.0942817274,,
HOWDEN CIR,WALDEN CIR,0.0864118665,,
17TH ST,LOVINGOOD DR,0.0241957519,30.2806008,-97.7019904
CHARLES ST,GUNTER ST,0.0291459527,30.267767,-97.697564
AIRPORT BLVD,MC KINLEY AVE,0.0402380799,,
JAIN LN,STUART CIR,0.0229285238,30.2617139,-97.6852524
LEDESMA RD,MANSELL AVE,0.0279629045,30.2733108,-97.6886808
KIRK AVE,THOMPSON ST,0.0282800646,30.265655,-97.6968402
MARTIN LUTHER KING BLVD,PEREZ ST,0.0355661328,30.2842275,-97.6930222
GRASSLAND DR,SPRINGDALE RD,0.0145250359,,
KITTY AVE,OVERHILL DR,0.0664091696,,
E M FRANKLIN AVE,MARTIN LUTHER KING BLVD,0.0454652737,30.2837443,-97.6961358
DENVER AVE,GRANDE CT,0.07112603,,
BERGER ST,SAUCEDO ST,0.0674469304,,
OAK GROVE AVE,OAK SPRINGS DR,0.084559182,,
BERGER ST,SPUR ST,0.0496977834,,
MARTIN LUTHER KING BLVD,WILDROSE DR,0.0747379935,30.2848638,-97.6889454
FORT BRANCH BLVD,WEBBERVILLE RD,0.0470977344,30.2798347,-97.6808136
LEMON TREE PATH,PLUM PEACH BND,0.0274385289,,
LORETO DR,PERSHING DR,0.0788838324,,
12TH ST,AIRPORT BLVD,0.0280126509,30.2768544,-97.7003386
CAMBRIDGE CT,GREENWOOD AVE,0.0491284584,,
DELONEY ST,PEREZ ST,0.0368709833,,
CARMEL DR,PEREZ ST,0.0344877797,,
SINGLE SHOT CIR,STAR JASMINE CT,0.0755022225,,
OLIVE SPARROW DR,SPRINGDALE RD,0.0382089349,,
OAK SPRINGS DR,SPRINGDALE RD,0.0705464385,30.2735453,-97.690416
ESTES AVE,PROCK LN,0.0433209497,30.267507,-97.6851266
BAKER ST,HEFLIN LN,0.0486751843,,
CRYSTAL STREAM PASS,STAR JASMINE DR,0.0551654665,,
51ST ST,LEMON TREE PATH,0.0765610054,,
BANDERA RD,RHODES RD,0.0228997912,30.2826189,-97.6808069
CHARLES ST,GOODWIN AVE,0.0270470298,,
LOUIS AVE,MASON AVE,0.0176206387,30.2747765,-97.6848588
J J SEABROOK DR,VICTORIA DR,0.0364003907,,
VICTORIA DR,WILDROSE DR,0.0476133634,,
ADINA ST,BANDERA RD,0.0417013008,30.2822408,-97.6800503
12TH ST,GREENWOOD AVE,0.0207564857,30.2775266,-97.696117
MUNSON ST,PROCK LN,0.0859616509,,
MAP ST,SARA DR,0.0414863387,30.2718115,-97.6908619
DOWNS DR,MEANDER DR,0.0648596436,,
AIRPORT BLVD,SPRINGDALE RD,0.020140054,30.2655736,-97.6955164
BUNDYHILL DR,MARTIN LUTHER KING BLVD,0.0202471913,30.2863627,-97.6773048
MASON AVE,STAR LIGHT TER,0.0285792214,30.2740856,-97.685265
GOODWIN AVE,HENNINGER ST,0.0892464727,,
BUNDY CREST CIR,WALDEN CIR,0.0848384322,30.289156,-97.6772733
JAIN LN,STEVEN CREEK WAY,0.0967995817,,
SINGLE SHOT CIR,WALDEN CIR,0.006250556,30.2899659,-97.6776046
14TH 1/2 ST,TILLERY ST,0.0316460572,30.279106,-97.7009441
ELEANOR ST,FORT BRANCH BLVD,0.0177827409,30.2765067,-97.6801932
SPRINGDALE RD,THOMPSON ST,0.0202703025,30.265252,-97.6957333
SPRINGDALE RD,TOUCHSTONE ST,0.0266376419,30.2892783,-97.6804153
DOWNS DR,HILLCREST LN,0.0371502215,30.2779822,-97.6771527
SEEDLING PATH,SERENADE ST,0.0240721715,,
EMMITT RUN,PERRY RD,0.0078273655,,
MANOR RD,TOM MILLER ST,0.0512353631,,
CHARTWELL DR,MANOR RD,0.0942060933,,
51ST ST,STAR JASMINE CT,0.0945643084,,
PENNY ST,WALLY AVE,0.0188890723,30.281282,-97.6843536
RHODES RD,SCOTTSDALE RD,0.0414917835,30.2844126,-97.6797887
MANSELL AVE,REYES ST,0.0098924447,30.2741243,-97.6875658
SANTA ANNA ST,WEBBERVILLE RD,0.0382550725,,
18TH ST,LOVINGOOD DR,0.0150220094,30.2812268,-97.7024316
SEEDLING PATH,STAR JASMINE DR,0.0218352295,,
LEDESMA RD,REYES ST,0.0459289147,,
MARTIN LUTHER KING BLVD,SPRINGDALE RD,0.0214598156,30.2858346,-97.6826564
CREST AVE,OAK GROVE AVE,0.0163533763,30.2740812,-97.7023667
STAR JASMINE CT,STAR JASMINE DR,0.0288310978,,
RIBBECKE AVE,WEBBERVILLE RD,0.0330833222,30.2793598,-97.6828632
LEDESMA RD,LOTT AVE,0.0331515794,30.2703642,-97.6819746
BASSWOOD LN,EMERALD LAWN DR,0.0473419095,,
14TH ST,MC KINLEY AVE,0.014247238,30.2780662,-97.7026327
FAIRPLAY CT,SPRINGDALE RD,0.0578951629,,
BASSWOOD LN,HALMARK DR,0.0296376841,,
AIRPORT BLVD,OAK SPRINGS DR,0.0212448331,30.2736074,-97.6979249
HILLSPRING CIR,SCOTTSDALE RD,0.0106094776,30.2854926,-97.6790691
BROOKSWOOD AVE,EBERT AVE,0.0619405769,,
AIRPORT BLVD,MARTIN LUTHER KING BLVD,0.0229178176,30.2825403,-97.7039869
FOUNTAIN GRASS LN,STAR JASMINE DR,0.0352271453,30.5874509,-97.6675463
EMERALD LAWN DR,GOLDEN CANARY LN,0.0151709618,,
NORTHDALE DR,YORK HILL DR,0.0457933675,30.2897042,-97.6709517
ABBATE CIR,GUNTER ST,0.0270450342,30.2727621,-97.6952514
DENFIELD ST,MARK ST,0.0377415429,,
BUNDYHILL CIR,BUNDYHILL DR,0.0319050669,30.2873551,-97.6773873
EBERT AVE,RICHARDINE AVE,0.040212779,,
ADRIANE DR,J J SEABROOK DR,0.0177126156,30.2823765,-97.6910069
DARBY ST,ED BLUESTEIN BLVD,0.0608906253,,
PROCK LN,RICHARDINE AVE,0.0135521162,30.2674559,-97.6860824
969 RD,ED BLUESTEIN BLVD,0.056503889,,
BENTSEN LN,NORTHDALE DR,0.0221230487,,
CEDAR POINT DR,WINDY BROOK DR,0.039405701,,
MANSELL AVE,SANTA ANNA ST,0.022682946,30.274855,-97.6870325
NIGHT OWL LN,OLIVE SPARROW DR,0.0430542576,,
ESTES AVE,LOTT AVE,0.0670961282,,
NICKOLS AVE,STAR LIGHT TER,0.0923028976,,
LOVELL DR,MANOR RD,0.0077460578,30.2924348,-97.6892867
MASON AVE,MENDOZA DR,0.0186096862,30.2727625,-97.6855815
DELORES AVE,SHUBERG ST,0.0344416985,30.2734167,-97.6820743
DELONEY ST,E M FRANKLIN AVE,0.0908626241,,
PERSHING DR,TILLERY ST,0.0572919026,,
SUSSEX DR,WEIDEMAR LN,0.0291276848,,
TIMBER BRUSH TRL,TIMBER LN,0.0528799412,30.2262713,-97.7436354
OLD CASTLE RD,WOLVERTON DR,0.0448380429,30.2104047,-97.7636973
CRUZ ST,VARGAS RD,0.0183912561,30.2279735,-97.6982076
BUTTON BEND RD,PLEASANT VALLEY RD,0.0456730118,30.2015802,-97.7421284
CREST OAK RD,SOUTH HEARSEY DR,0.0843914028,,
BURLESON RD,IROQUOIS LN,0.0293693917,30.2278263,-97.7354123
ROYAL HILL DR,TIMBERWOOD DR,0.0213492637,,
STASSNEY LN,TALLOW CT,0.0428240836,30.1933993,-97.7535891
ATASCOSA DR,BOGEY CT,0.0567750579,,
PENICK DR,RIVERSIDE DR,0.053065756,30.2284743,-97.7110002
BERGFIELD DR,COTTONWOOD ST,0.0295005101,,
CANDLEWOOD CT,GLEN SPRINGS WAY,0.0251827064,30.2300513,-97.7395372
TRAVIS HEIGHTS BLVD,WOODLAND AVE,0.0176962559,30.2436002,-97.7421809
ACORN GROVE CT,TERI RD,0.0306155551,,
ERIC CIR,FRANKLIN PARK DR,0.0319874141,,
OLTORF ST,SCHRIBER ST,0.016967578,30.2346552,-97.7437028
CARNARVON LN,SHERWOOD LN,0.0413114237,,
BASSETT CT,BERTRAM CT,0.0569205102,,
35 SVRD,WOODWARD ST,0.0608498387,,
ALEXIS CV,RIVERSIDE DR,0.0801205863,,
PITHER LN,WICKSHIRE LN,0.0196158762,,
GOOD WOOD DR,MASHIE CV,0.0229063557,,
NUCKOLS CROSSING RD,RED BUD RIDGE LN,0.080584595,,
BOGEY CT,COPPERBEND BLVD,0.0247211995,,
CREST OAK RD,FENCE ROW,0.0447182063,30.1977236,-97.7341362
CAPE VERDE CV,NUCKOLS CROSSING RD,0.0737705348,,
COTTONWOOD ST,LURLYNE CT,0.0292141114,30.1987088,-97.7318764
TYBALT ST,YELLOW JACKET LN,0.0587420542,,
CROOKED LN,WOODLAND AVE,0.0413949642,,
MOWBRAY ST,YELLOW JACKET LN,0.0619084197,,
BERYL OAK DR,LARK CREEK DR,0.073445495,,
BROOK CREST RD,SPRING MEADOW RD,0.0268999091,30.1935421,-97.7302226
PEPPERTREE PKWY,TALLOW TREE DR,0.0535928687,,
WARELY LN,WICKSHIRE LN,0.0791178027,,
ARBOR PAVILION LN,FALLING LEAF LN,0.0155634772,30.1905384,-97.7394372
BAHIA CIR,SANTA FE DR,0.0981174544,,
MARIPOSA DR,MATAGORDA ST,0.0372960546,30.2362435,-97.7371061
ALTA VISTA AVE,EAST SIDE DR,0.0788866991,30.187118,-97.2973376
BEN WHITE BLVD,CASEYBRIDGE CT,0.0214887168,,
MASHIE CV,NUCKOLS CROSSING RD,0.0525238169,,
CARLSON DR,LITTLE VALLEY CV,0.0768605627,,
ARBOR PAVILION LN,PARELL PATH,0.0744983913,30.1909605,-97.7403085
BEN WHITE BLVD,BURLESON RD,0.0353216919,30.2153913,-97.7334446
MAPLE MARSH CT,RED BUD RIDGE LN,0.0100739981,,
FRANKLIN PARK DR,JOSHUA CT,0.032651382,,
DEADWOOD DR,PONCIANA LOOP,0.0358880954,30.1986225,-97.7552412
35 SVRD,MEINARDUS DR,0.036695203,,
CRANDOWER CT,TYBALT ST,0.0784027869,,
AUDUBON PL,MULFORD CV,0.0481102203,,
ALPINE RD,BEN WHITE BLVD,0.0139944007,,
APPLE ORCHARD LN,LYRA CIR,0.02785484,,
ALTA VISTA AVE,MARIPOSA DR,0.023432212,30.2417893,-97.7442731
COFFEE CUP CV,FRANKLIN PARK DR,0.0803690439,,
PEPPERTREE PKWY,SORRET TREE CT,0.0431107956,30.1985433,-97.7524083
35 SVRD,STASSNEY LN,0.0719535576,,
BOND DR,WICKSHIRE LN,0.0350338707,30.2243778,-97.7414292
35 SVRD,ST EDWARDS CIR,0.0681688118,,
GNARLED OAK CV,TERI RD,0.0277116351,,
PROMONTORY POINT DR,WINNEBAGO LN,0.0897788828,30.2069906,-97.7322418
ALPINE RD,WILLOW SPRINGS RD,0.0817856541,30.2251236,-97.7582771
BRADFORD PEAR LN,MAPLE MARSH CT,0.0665399419,,
GENIVEIVE LN,STOCK DR,0.0306347879,30.2242469,-97.739435
BEN WHITE BLVD,BRAESWOOD RD,0.0918918144,,
BOND DR,TIMBER RIDGE DR,0.0954221802,,
BEN WHITE BLVD SVRD,MONTOPOLIS DR,0.0547178296,,
CORDELIA CT,TRAFTON CT,0.0247921269,,
SPRING MEADOW RD,STASSNEY LN,0.0752329104,,
LUPINE LN,SUMMIT ST,0.0152466689,30.2444613,-97.7331097
BEN WHITE BLVD SVRD,ST ELMO RD,0.0700308548,,
COCAO CIR,COCAO LN,0.0284464782,30.1976224,-97.7491055
FRANKLIN PARK DR,PLEASANT VALLEY RD,0.0263692167,30.1984911,-97.7432195
GROVE BLVD,MARIGOLD TER,0.0889892885,,
COCAO CIR,DEADWOOD DR,0.084523485,,
BAHIA CIR,GRANADA DR,0.039654928,,
BOND DR,DINSDALE LN,0.0245499861,30.2263918,-97.7401002
JUNIPER JUNCTION LN,SHADED COTTAGE CT,0.0147549107,30.1915015,-97.7395536
GREENFIELD PKWY,ROCKBRIDGE TER,0.0362783574,30.2315839,-97.7385753
GOOD WOOD DR,TERI RD,0.0240374964,30.1953359,-97.740289
ALTA VISTA AVE,WOODLAND AVE,0.0263090655,30.244088,-97.743189
REBEL RD,SUNSET CIR,0.028123941,30.238612,-97.749449
MISSION HILL DR,SANTA FE DR,0.0822690757,,
PALO BLANCO CT,PALO VERDE DR,0.0844513312,,
FALLING LEAF LN,WALNUT GROVE DR,0.0237541619,,
ENCINAL CV,PINO LN,0.0374497587,30.190492,-97.7496062
ALGARITA AVE,ALTA VISTA AVE,0.0441279217,30.2400797,-97.7453536
TIMBER BRUSH TRL,TIMBER TRL,0.033284606,30.2262713,-97.7436354
DROWSY WILLOW TRL,NUCKOLS CROSSING RD,0.0695104174,,
DAFFODIL DR,MONTOPOLIS DR,0.0146016199,30.2099658,-97.713658
CHAPARRAL TRL,VILLAGE TRAIL CIR,0.041680821,,
GREENFIELD PKWY,PARKER LN,0.0614655769,,
ROCKING CHAIR RD,TERI RD,0.0537457685,,
BRECKENRIDGE DR,CRESTONE RD,0.0728686622,30.1971103,-97.6996095
PAR CV,VILLAGE WALK,0.0906364803,,
COPSE CT,PARELL PATH,0.0656362401,33.7657876,-96.5354375
CARSON RIDGE,THRASHER LN,0.0937677873,,
BURLESON RD,REEVES CIR,0.0505486328,,
AINEZ DR,BRADFORD PEAR LN,0.0932307718,,
BEGONIA TER,MARIGOLD TER,0.0875059147,,
DOVE CREEK CV,LARK CREEK DR,0.0448088795,30.1944767,-97.7338181
MULBERRY MIST CT,RED BUD RIDGE LN,0.0250019226,,
GROVE BLVD,MONTOPOLIS DR,0.0597345914,30.2202289,-97.7070312
BRAXTON CV,PARKER LN,0.0285385557,30.230212,-97.7382741
CHELSEA LN,MISSION RIDGE,0.0149681924,30.243099,-97.7388407
BEN WHITE BLVD SVRD,WOODBURY DR,0.0453274649,,
CLEESE DR,WARELY LN,0.0634365822,,
FRANKLIN PARK DR,TERI RD,0.0935286916,,
BURLESON RD,VENTURA DR,0.0731891994,,
LARK CREEK DR,TERI RD,0.0241238335,30.1917934,-97.7315119
CARTER LN,GREGG WARD LN,0.0391459697,30.2056135,-97.7357034
ARBOR PAVILION LN,MULBERRY MIST CT,0.0579085082,,
MISSION HILL DR,VENTURA DR,0.0205778401,30.216665,-97.735342
PAR CV,TABLE TOP TRL,0.066193941,,
PITHER LN,SAGER DR,0.0373942152,,
ARBOR PAVILION LN,MAPLE MARSH CT,0.0618799278,,
INDUSTRIAL BLVD,TERRY O LN,0.0187449229,30.2167784,-97.7581014
OLTORF ST,PARKER LN,0.043450282,,
NEEDLE NOOK CT,NUCKOLS CROSSING RD,0.0231452365,,
TIMBER RIDGE DR,TIMBERWOOD DR,0.0345207538,30.227029,-97.7431847
CANDLETREE LN,PINO LN,0.0867807557,,
STASSNEY LN,VILLAGE TRL,0.0226144997,30.1938274,-97.7460362
FALLING LEAF LN,SHADED COTTAGE CT,0.0252192412,,
PALO BLANCO LN,PLEASANT VALLEY RD,0.0150940887,30.1908868,-97.7447103
NUCKOLS CROSSING RD,PARELL PATH,0.0269069621,30.1909605,-97.7403085
MULBERRY MIST CT,NUCKOLS CROSSING RD,0.0467795316,,
FENCE ROW,SOUTH HEARSEY DR,0.0293777833,,
BEN WHITE BLVD,BEN WHITE BLVD SVRD,0.0046724725,,
PALO BLANCO CT,STASSNEY LN,0.0447406628,30.1936306,-97.7497157
BRIAR HILL DR,WOODLAND AVE,0.0475779185,30.2367048,-97.7298639
HIDDEN VALLEY TRL,VILLAGE SQUARE DR,0.0386788957,30.1882102,-97.7443557
BEVIN CV,LYRA CIR,0.0237696508,30.1987249,-97.7307209
DIRECTORS BLVD,GOVERNORS ROW,0.0333883724,30.2131829,-97.7503161
CABOB ST,VILLAGE LN,0.0803047921,,
ARBOR PAVILION LN,RED BUD RIDGE LN,0.0391796086,,
SCARSDALE DR,UNION CIR,0.032482958,,
JUNIPER JUNCTION LN,MULBERRY MIST CT,0.024323496,,
ATASCOSA DR,STASSNEY LN,0.056426028,30.194031,-97.7411213
